mammal|哺乳动物,5
infatuation|痴情,0
justwhite|纯白,1
x_navel|x_肚脐,0
bng|bng,1
twistedterra|扭曲的土地,1
black_thigh_socks|black_thigh_socks,0
tassy_(artist)|tassy_（艺术家）,1
fishnet_leggings|渔网打底裤,0
zone|区,1
mothra_(series)|mothra_(系列),3
everstone_guild|everstone_guild,3
sword_art_online|刀剑神域,3
dragonification|龙化,0
popsicle_melting|popsicle_melting,0
roommates:motha|室友：motha,3
ukent|肯特,1
tan_glans|tan_glans,0
poppy_opossum|罂粟负鼠,3
telemonster|远程怪物,3
shoulder_bag|单肩包,0
shorts_pull|短裤拉,0
hair_down|hair_down,0
photo_finish_(mlp)|photo_finish_(mlp),4
munks_(character)|munks_（字符）,4
cicada_(artist)|蝉_（艺术家）,1
jedi|绝地,0
sneeze|喷嚏,0
taco|炸玉米饼,0
sea_otter|海獭,5
ratatooey|鼠尾草,1
enroshiva|恩罗希瓦,1
deerstail|鹿尾,1
tears_of_pain|疼痛的眼泪,0
facehugger|脸拥抱者,5
surgical_mask|手术口罩,0
destiny_2|命运_2,3
9_6|9_6,1
beaker|烧杯,0
twistcmyk|扭蛋,1
electroporn|电子色情,1
unigan|单甘,5
silentwulv|无声无息,1
hildegard_(fidchellvore)|hildegard_(fidchelvore),4
shirokumaou|白熊王,1
fluffydonuts|蓬松甜甜圈,1
kiyosan|清山,1
derideal|荒谬的,3
timbywuff|蒂姆比乌夫,4
jogauni|乔高尼,5
insulting_viewer|侮辱观众,0
hugtastic_pinkie_pie|hugtastic_pinkie_pie,4
shooty|射击,4
rain-yatsu|雨八,1
seatbelt|安全带,0
redflare500|红火炬500,1
verona7881|维罗纳7881,1
reformed_changeling|改过自新,5
imperial_unit|英制单位,0
log_(artist)|日志_（艺术家）,1
ruco|鲁科,1
bubba_(spyro)|布巴_（斯派罗）,4
corn|玉米,0
averyhyena|鬣狗,1
diagram|图表,0
gizmo0sue|gizmo0sue,1
orange_dress|橙色连衣裙,0
balloon_boy_(fnaf)|气球男孩_（fnaf）,4
miniferu|小费鲁,1
green_belly|绿肚皮,0
jouljehart|焦耶哈特,1
chest_lick|舔胸,0
diamondwing|钻石翼,4
hanging_from_branch|hang_from_branch,0
kai_the_collector|kai_the_collector,4
kaminosaki|上崎,1
enon|恩农,1
dimfann|丁凡,1
bob-omb|炸弹,5
lizardman_(warhammer_fantasy)|蜥蜴人_（战锤_幻想）,5
lined_paper|衬纸,0
kermode_bear|kermode_bear,5
nightswing|夜摇,4
full_diaper|全尿布,0
implied_rape|隐含强奸,0
geppei5959|格平5959,1
silvia_windmane|silvia_windmane,4
cirrus_(xp)|cirrus_(xp),4
white_dress_shirt|white_dress_shirt,0
abduction|绑架,0
anvil|砧,0
black-husky|黑哈士奇,1
master_crane|master_crane,4
ivy_valentine|常春藤情人节,4
label|标签,0
horned_helmet|有角头盔,0
hazukikai|叶月海,1
vorechestra|弗雷切斯特拉,1
pit_(kid_icarus)|坑_（kid_icarus）,4
boyfriends|男朋友,0
greek|希腊语,0
lynjox|林乔克斯,1
growth_drive|增长驱动,0
grabbing_arms|抓取武器,0
milestone|里程碑,0
cursed_item|被诅咒的物品,0
neck_spikes|颈钉,0
balloon_fetish|气球恋物癖,0
hyeing02|hyeing02,1
alyrise|爱丽丝,1
3d_fluid_sim|3d_fluid_sim,0
velrizoth|丝绒,1
gift_bow|礼物弓,0
drying|烘干,0
power|力量,0
arteia_kincaid_(arctic_android)|arteia_kincaid_(arctic_android),4
combat_boots|战斗靴,0
benji_(artist)|benji_（艺术家）,1
dryer|烘干机,0
rikuaoshi|日夸市,1
manitka|马尼特卡,1
blue_light|蓝光,0
spray_paint|喷漆,0
yellow_sheath|黄鞘,0
the_rescuers_(disney)|the_rescuers_（迪士尼）,3
airfly-pony|飞行小马,1
shads|鲥鱼,4
unbuttoned_pants|unbuttoned_pants,0
colo|科罗拉多,1
morbidly_obese_ambiguous|病态肥胖模棱两可,0
sunnyowi|桑尼诺维,1
black_bodysuit|black_bodysuit,0
peridot_(steven_universe)|橄榄石_（史蒂文宇宙）,4
rikitoka|力当卡,1
xdarkspace|xdarkspace,1
purple_perineum|紫色会阴,0
record_player|记录播放器,0
holding_knot|抱结,0
frieza_race|frieza_race,5
hooded|连帽的,0
lyorenth-the-dragon|lyorenth-the-龙,1
mirabelle|米拉贝尔,4
thetransformtentacle|变形触手,1
seyferwolf|赛弗狼,1
bowing|鞠躬,0
vaginal_tugging|阴道拉扯,0
wonder_woman|神奇女侠,4
blue_eyewear|blue_eyewear,0
harp|竖琴,0
covid-19_pandemic|2019冠状病毒病大流行,3
shellder|剥壳机,5
kensuke_shibagaki_(odd_taxi)|kensuke_shibagaki_(odd_taxi),4
palutena|帕鲁特纳,4
huiro|惠罗,1
dutch_rabbit|荷兰兔,5
sweet.lemons|甜柠檬,1
white_beard|白胡子,0
lovkuma|洛库马,1
andromorph_on_top|andromorph_on_top,0
skaifox|斯凯福克斯,1
hocolatemilk|巧克力牛奶,1
trapped_in_clothing|被困在衣服里,0
t.f.a.n.c.s.|tfancs,1
grandfather|祖父,0
melon_(beastars)|melon_（野兽派）,4
pyroar|火烧,5
klent|克伦特,1
milo_(juantriforce)|milo_(juantriforce),4
cum_from_penis|cum_from_penis,0
ramaelfox|拉梅尔福克斯,4
ping_koon|ping_koon,1
signirsol|信号,1
gau_(artist)|gau_（艺术家）,1
on_rock|on_rock,0
huitu_c|huitu_c,1
nullo|零,0
brachioradialis|肱桡肌,0
konbu|昆布,1
4322chan|4322chan,1
6_horns|6_喇叭,0
pickle_(food)|泡菜_（食物）,0
timer|计时器,0
multicolored_handwear|multicolored_handwear,0
gravewalker|坟墓行者,1
green_breasts|green_breasts,0
thigh_tattoo|大腿纹身,0
strapless_dress|露肩礼服,0
thanshuhai|檀树海,1
ultraviolet|紫外线,1
mr._piranha_(the_bad_guys)|mr._piranha_(the_bad_guys),4
ranshiin|乱石,4
scent|香味,0
braffy|勇敢的,1
yamper|癞蛤蟆,5
gmeen|gmeen,1
nidorino|尼多里诺,5
my_pet_tentacle_monster|我的宠物触手怪物,1
yukiminus_rex_(evov1)|yukiminus_rex_(evov1),4
protective|保护的,0
pumpkinsinclair|南瓜辛克莱,1
torn_shoes|撕裂的鞋子,0
dtcx97|dtcx97,1
rika_(character)|rika_（字符）,4
pheonixbat|凤凰,1
chun-li|春丽,4
anthro_to_feral|anthro_to_feral,0
pornomagnum|色情大片,1
minigun|机枪,0
kinokoningen|基诺科宁根,1
magpi|鹊,1
knot_bulge|结凸出,0
leonthelionel|莱昂西林,1
marshall_(paw_patrol)|marshall_(paw_patrol),4
freako|怪胎,1
hyper_soiling|超污点,0
mane-iac_(mlp)|鬃毛-iac_(mlp),4
pattern_briefs|pattern_briefs,0
electrike|电动车,5
uncut_with_sheath|uncut_with_sheath,0
luchador|卢查多,0
librarian|图书管理员,0
tall_lizzard_(artist)|tall_lizzard_（艺术家）,1
nathanatwar|纳塔纳瓦尔,1
dialogue_outside_panel|dialog_outside_panel,0
chirasgi|基拉斯吉,1
skajrzombie|骷髅僵尸,1
itameshi|豆目,1
yinller|银乐,1
dovne|多夫内,1
blue_knot|蓝结,0
sharp_fangs|尖牙,0
cunnilingus_gesture|cunnilingus_gesture,0
cuffs_to_collar|cuffs_to_collar,0
hand_on_wrist|hand_on_wrist,0
magical_girl_outfit|magic_girl_outfit,0
mklancer00|mklancer00,1
ikiki|ikiki,1
rose_(funkybun)|玫瑰_(funkybun),4
measurements|测量,0
swiper_(dora_the_explorer)|swiper_(dora_the_explorer),4
daf|达夫,1
catchabird|捕鸟,1
neri_(caelum_sky)|neri_(caelum_sky),4
ashesdrawn|灰飞烟灭,1
sirotae_konnta|sirotae_konnta,1
3rd_party_watermark|3rd_party_watermark,7
garter_belt_leggings|garter_belt_leggings,0
red_dildo|red_dildo,0
white_membrane|白膜,0
baron_of_hell|baron_of_hell,5
red_belly|红肚皮,0
two_tone_breasts|two_tone_breasts,0
soaking_feet|浸泡脚,0
anglerfish|琵琶鱼,5
relle|雷勒,4
teddiursa|泰迪乌尔萨,5
accidental_vore|意外的沃尔,0
aryanne|亚安,1
crossed_feet|交叉脚,0
mischievous|恶作剧,0
1993|1993,7
juanmao1997|卷毛1997,1
hut|小屋,0
triadfox|三叉戟,1
teavern|酒馆,1
dynamax|动力最大,0
supported_legs|支持的腿,0
notactuallyhere|不在这里,1
joakaha|乔阿卡哈,1
super_form|超形式,0
sunofureiku|日风礼,1
spintherella|旋毛虫,1
impious|不虔诚的,1
magatama|灵玉,0
urethral_masturbation|urethral_masturbation,0
loss_of_dexterity|loss_of_dexterity,0
gender_confusion|性别混淆,0
polyle|聚乐,1
yacht_club_games|游艇俱乐部游戏,3
shrew|泼妇,5
inside_mouth|嘴里,0
butt_bump|屁股撞,0
boxgoat|箱山羊,1
kurohane_karasu|kurohane_karasu,1
tan_tongue|tan_tongue,0
multicolored_tongue|多彩多姿的舌头,0
goldendruid|金德鲁伊,1
cacturne|仙人掌,5
wendy_pleakley|wendy_pleakley,4
orange_arms|橙色武器,0
hideki_kaneda|hideki_kaneda,1
bench_press|卧推,0
derrick_(hextra)|井架_（六角形）,4
sincrescent|新月形,1
standing_tough|站立坚韧,1
sketchy_skylar|sketchy_skylar,1
divinity:_original_sin_2|神性：_original_sin_2,3
buke3jp|buke3jp,1
partner_swap|合作伙伴交换,0
commanderthings|指挥官事,1
vempire|吸血鬼,1
feces_on_penis|feces_on_penis,0
mayar|玛雅,1
taylor_renee_wolford_(darkflamewolf)|taylor_renee_wolford_(暗焰狼),4
bubble_kitten17|泡泡小猫17,1
nokamiwd|nokamiwd,1
katt_(animal_crossing)|katt_(animal_crossing),4
repeat_(visual_novel)|重复_（视觉小说）,3
deadanthro|死人,1
mew_duo|mew_duo,0
frito-lay|弗里托莱,3
scaled_forearms|scaled_forearms,0
electrixocket|电筒,1
sealer4258|封口机4258,1
hyper_gape|hyper_gape,0
bus_stop|巴士车站,0
pink_armwear|pink_armwear,0
kianamai|基亚迈,1
cork|软木,0
whap|捶打,0
kodi_(balto)|kodi_（巴尔托）,4
eager|渴望的,0
one_after_another|相继,0
nebula|星云,0
painal|痛苦的,0
looking_down_at_self|看着_down_at_self,0
food_costume|food_costume,0
spiff|飞溅,1
distressed|苦恼,0
pabbley|帕布利,1
fuzzy_balls|模糊球,0
dragon_pony|龙小马,5
von_lycaon|von_lycaon,4
floatie|漂浮的,0
light_claws|光爪,0
fidget_the_fox|fidget_the_fox,4
lopmon|洛普蒙,5
mothra|摩斯拉,4
hyper_fart|超级放屁,0
omnipresentcrayon|无所不在的蜡笔,1
sketchytoasty|粗略的烤面包,1
rachnera_arachnera_(monster_musume)|rachnera_arachnera_(monster_musume),4
muppet|布偶,5
sip_i.a.|sip_i.a.,1
white_neck|白领,0
tani_da_real|tani_da_real,1
paoguu|泡古,1
shore|支撑,0
smolder|闷烧,4
back_tattoo|back_tattoo,0
snowfoxatheart|雪狐狸心,1
sharing_clothing|共享服装,0
bobthedalek|博特达莱克,1
chilllum|辣椒,1
barbed_wire|铁丝网,0
fkk|fkk,1
patricia_mac_sionnach|patricia_mac_sionnach,4
sex_battle|sex_battle,0
ayame42612|ayame42612,1
pockyrumz|百吉鲁兹,1
reveal|揭示,0
conjoined_twins|连体双胞胎,0
garden_of_eden|伊甸园,0
drooling_on_partner|流口水_on_partner,0
tall_grass|高草,0
grey_hoodie|灰色连帽衫,0
five_nights_at_freddy's_vr:help_wanted|Five_nights_at_freddy's_vr:help_wanted,3
light_hands|轻手,0
off_screen_character|离屏字符,0
star_print|星印,0
delta.dynamics|三角洲动力学,1
daylight|白天,0
diancie|滇切,5
two_tone_inner_ear|two_tone_inner_ear,0
glistening_claws|闪闪发光的爪子,0
crotchless_bottomwear|开裆裤,0
gawr_gura|gawr_gura,4
oli_snowpaw|oli_snowpaw,1
splatoon_(series)|splatoon_(系列),3
excadrill|excadrill,5
bioshock_infinite|生化奇兵无限,3
dogmeat|狗肉,4
blue_cheeks|蓝脸颊,0
zaggatar|扎加塔尔,1
hoodwink_(dota)|骗子_(dota),4
sulley|苏莱,4
wide_arrow|宽箭头,0
izuku_midoriya|izuku_midoriya,4
exposed_back|暴露的背,0
kaeritai07|kaeritai07,1
construction_worker|建筑工人,0
cum_in_foreskin|cum_in_foreskin,0
essien|埃森,1
reverse_doggystyle|reverse_doggystyle,0
fire_emblem_fates|fire_emblem_fates,3
rainbow_pride_clothing|彩虹骄傲服装,0
baraking|呱呱叫,1
corrupt_cynder|腐败缸,4
rawrunes|原始符文,1
fibs|小谎言,1
vitashi|维塔希,1
relief|宽慰,0
candy.yeen|糖果.yeen,1
kotori|琴里,1
inside_underwear|inside_underwear,0
mustard|芥末,0
yellow_legwear|Yellow_legwear,0
severed_balls|断球,0
green_t-shirt|green_t 恤,0
redic-nomad|游牧民族,1
team_skull|team_skull,3
pokemon_berry|pokemon_berry,0
puckered_anus|起皱的肛门,0
blvejay|蓝鸟,1
littlenapoleon|小拿破仑,1
lucien|吕西安,1
grey_eyeshadow|灰色眼影,0
schmutzo|施穆佐,1
ostrich|鸵鸟,5
starshippizza|星舰披萨,1
octillery|油烟机,5
bluedraggy|蓝色拖拉,1
rotten_owl|烂猫头鹰,1
domasarts|多玛萨特,1
stoopedhooy|弯腰驼背,1
on_glass_surface|on_glass_surface,0
the_elder_scrolls_online|the_elder_scrolls_online,3
sutibaru|苏提巴鲁,1
corrupted|损坏的,0
fivesome|五人组,0
lucyfercomic|Lucyfercomic,1
werefeline|狼人,5
bonedra|邦德拉,1
leaning_on_another|靠在另一个,0
feels|感觉,0
bckiwi|猕猴桃,1
shdingo|什丁戈,1
formal|正式的,0
rainbow_eyes|彩虹眼,0
red_thong|red_thong,0
interspecies_relationship|interspecies_relationship,0
ak-47|AK 47,0
white_apron|白色围裙,0
multicolored_breasts|multicolored_breasts,0
teaching|教学,0
looking_through_window|看透窗,0
purple_shoes|紫鞋,0
killryde|杀戮,1
cox|考克斯,4
purple_thigh_highs|Purple_thigh_highs,0
lightforged_draenei|光铸德莱尼,5
prismanoodle_(artist)|prismanoodle_（艺术家）,1
okunawa|奥轮,1
scafen_(artist)|scafen_（艺术家）,1
marc_(theblueberrycarrots)|马克_（蓝莓胡萝卜）,4
notdonebaking|未烘烤,1
displacer_beast|displacer_beast,5
punk_hair|朋克头发,0
ru_(rudragon)|ru_(rudragon),4
skinny_anthro|skinny_anthro,0
xennos|异形,1
bikini_down|bikini_down,0
synx|同步,5
rotarr|旋转器,1
pikmin_(species)|pikmin_(种),5
warlocke|术士,1
egyptian_vulture|埃及秃鹰,5
mega_swampert|巨型沼泽,5
revous|重头戏,1
inner_boob|inner_boob,0
holarctic_magpie|holarctic_magpie,5
aleone|芦荟,1
teri_(tawog)|teri_(tawog),4
scooter|小型摩托车,0
countershade_belly|countershade_belly,0
multicolored_kerchief|五彩的头巾,0
daimo|大魔,1
chaos_(sonic)|混乱_（声波）,4
leonkatlovre|莱昂卡特洛夫,1
aggie|阿吉,4
loimu|洛木,1
remote_controlled_vibrator|遥控振动器,0
raljoy|拉尔乔伊,1
foot_on_back|脚背,0
peaked_cap|尖顶帽,0
blue_bender|blue_bender,1
arguing|争论,0
helioptile|直升机,5
flesh_structure|肉体结构,0
canine_genitals|canine_genitals,0
bouncyotter|弹跳器,4
up_and_over|up_and_over,0
tentacle_under_clothing|tentacle_under_clothing,0
butt_hug|对接拥抱,0
rinrin_(pixiv)|rinrin_(pixiv),1
black_tentacles|black_tentacles,0
interrupted|被打断,0
starry_background|星空背景,0
tender|投标,0
anas|阿纳斯,5
mick39|米克39,1
hopelesshighschool|绝望的高中,1
puffy_lips|浮肿的嘴唇,0
jacketbear|夹克熊,1
hanging_(disambiguation)|悬挂_（消歧义）,-1
bellossom|贝洛索姆,5
muffinlewds|松饼流氓,1
hand_lick|手舔,0
tyrande_whisperwind|tyrande_whisperwind,4
side_cut|侧切,0
alakay_alex|alakay_alex,4
megaman_(classic)|洛克人_（经典）,3
two_tone_neck|two_tone_neck,0
dust_(elysian_tail)|尘埃_（elysian_tail）,4
breast_pillow|胸枕,0
paprika_paca_(tfh)|paprika_paca_(tfh),4
sin-buttons_(artist)|sin-buttons_（艺术家）,1
cadmiumtea|镉茶,1
gela-g-i-s-gela|意式凝胶,1
09hankris|09汉克里斯,1
blazer|西装外套,0
poisindoodles|点心,1
ketchup_veins|番茄酱静脉,0
lirkov|利尔科夫,1
plorgonarian|语言学家,5
sitting_on_table|坐在桌子上,0
draining|排水,0
yousan|优三,1
furlong_(live-a-hero)|furlong_(活生生的英雄),4
trash_bag|垃圾袋,0
creepy_smile|令人毛骨悚然的微笑,0
twstacker|堆垛机,1
precum_on_own_penis|precum_on_own_penis,0
purple_hoodie|紫色连帽衫,0
qrichy|qrichy,1
winter_coat|冬衣,0
pooh_bear|小熊维尼,4
oniontrain|洋葱火车,1
identity_death|身份死亡,0
eto1212|eto1212,1
neelix|尼利克斯,1
hatiimiga|哈蒂米加,1
tail_pussy|tail_pussy,0
jinbe|神户,4
blue_tank_top|blue_tank_top,0
cupboard|橱柜,0
rubbing_penis|rubbing_penis,0
soups_(superiorfox)|汤_(superiorfox),4
compliment|赞扬,0
adventurer|冒险家,0
wall_mounted_dildo|壁挂式假阳具,0
k-10|k-10,1
sovy|苏维,4
shaking_legs|摇腿,0
electroshock_weapon|电击武器,0
brave_new_world_(style_wager)|勇敢的新世界（style_wager）,3
anearbyanimal|附近的动物,1
beakstick|喙棒,0
thresh|脱粒,4
weedle|杂草,5
branded|品牌,0
skweekers|skweekers,1
side_ponytail|side_ponytail,0
wax_play|蜡玩,0
trunchbull|短头牛,1
headlights|大灯,0
breast_tattoo|乳房纹身,0
drayk_dagger|drayk_dagger,4
taito|台东,3
hurikata|风形,1
sewayaki_kitsune_no_senko-san|sewayaki_kitsune_no_senko-san,3
pwink|眨眼,4
chung0_0|钟0_0,1
misx|混杂,1
alcina_dimitrescu|alcina_dimitrescu,4
voluptuous_female|妖娆_女性,0
gaping_cloaca|gaping_cloaca,0
speech_bubble_outside_panel|Speech_bubble_outside_panel,0
komeko-nk|小美康,1
set_(deity)|set_(神),4
matt_riskely|matt_riskely,4
pointy_horn|尖角,0
fernier|弗尼尔,4
deymos|小精灵,1
greame|油脂,1
flexing_both_biceps|flexing_both_biceps,0
stories_of_the_few|少之又少的故事,3
clyndemoon|克莱德蒙,1
69_(number)|69_（数量）,0
translucent_hand|半透明手,0
damianvertigo|达米安眩晕,1
p-v-s|pvs,1
nano|纳米,0
cyberpunk_2077|赛博朋克_2077,3
hammerhead_shark|锤头鲨,5
black_high_heels|black_high_heels,0
miiyori|三赖,1
sparkling_character|闪闪发光的字符,0
master_chief|master_chief,4
monotone_pants|单调裤子,0
cotton_candy|棉花糖,0
flamethrower|喷火器,0
rue_(the-minuscule-task)|rue_（小任务）,4
blonde_pubes|金发女郎,0
thatworgen|那个狼人,1
heavy_(team_fortress_2)|重型_（team_fortress_2）,4
green_butt|绿屁股,0
holding_gift|持有_礼物,0
the_more_you_know|你知道的越多,0
christmas_stocking|圣诞袜,0
wrapped_up|包起来,0
nose_hook|鼻钩,0
minami_juuji|minami_juuji,1
hair_sticks|发棒,0
gimmemysmokes|给我烟,1
the_legend_of_spyro|the_legend_of_spyro,3
volcarona|火山,5
stalagmite|石笋,0
ffjjfjci|ffjjfjci,1
clitoris_outline|clitoris_outline,0
cracker_(artist)|饼干_（艺术家）,1
mrchocolate|巧克力先生,1
joystick|操纵杆,0
chode|乔德,0
secretden|秘密的,1
harryclopper|哈利克罗珀,1
razplus|拉兹加,1
anchors_art_studio|anchors_art_studio,1
intersex_(lore)|双性人_（传说）,-1
shinrabanshou|新番寿,3
champagne_glass|香槟酒杯,0
fabric|织物,0
tied_ears|绑耳,0
rosary|念珠,0
ghastlygh|鬼鬼祟祟,1
h.w.t._studios|hwt_studio,3
shirt_grab|shirt_grab,0
jingle_bell_harness|jingle_bell_harness,0
deke_(ittybittykittytittys)|deke_(ittybittykittytittys),4
tramp_stamp|流浪汉邮票,0
daria_mcgrain|daria_mcgrain,1
casino|赌场,0
treadmill|跑步机,0
ornaments|装饰品,0
tinder_(artist)|火种_（艺术家）,1
laurel_wreath|桂冠,0
deep_kiss|深吻,0
shuriken|手里剑,0
cross-hatching|交叉影线,7
tan_sclera|tan_sclera,0
sea_sponge|海海绵,5
floral_pattern|花卉图案,0
lizard_(divinity)|蜥蜴_（神）,5
carcharhinus|蛐蛐,5
clawlion|爪子,1
sir-dancalot|丹卡洛爵士,1
orange_legs|橙腿,0
fleet-foot|快脚,1
skating|溜冰,0
penelope_pussycat|penelope_pussycat,4
text_background|text_background,0
rubbing_pussy|rubbing_pussy,0
leokingdom|王国,1
bow_knot|弓结,0
mei_(one_stormy_night)|mei_(one_stormy_night),4
flamespitter|喷火者,1
sanguine_paladin|sanguine_paladin,1
hololive_en|hololive_cn,3
blue_diaper|blue_diaper,0
hands_over_head|hand_over_head,0
ewgengster_(artist)|ewgengster_（艺术家）,1
looking_surprised|看起来很惊讶,0
glaive_wyvern|glaive_wyvern,5
black_knot|黑结,0
werepantherine|山楂碱,5
cum_on_crotch|cum_on_crotch,0
mark_m|标记_m,1
caesar_(peculiart)|凯撒_（特殊）,4
8chan|8chan,3
frozen_(movie)|冻结_（电影）,3
underswap|交换不足,3
verosika_mayday_(helluva_boss)|verosika_mayday_(helluva_boss),4
excalibur_(zerofox)|excalibur_(zerofox),4
cum_on_armpit|cum_on_armpit,0
hands_on_leg|hand_on_leg,0
taggcrossroad|标签crossroad,3
ricochetcoyote|弹跳土狼,3
catwoman|猫女,4
nicolaswildes_(artist)|nicolaswildes_（艺术家）,1
bloom|盛开,0
ammo_belt|ammo_belt,0
gblastman|gblastman,1
erlenmeyer_flask|锥形瓶,0
broken_sex_toy|破性玩具,0
evolution_(transformation)|进化_（转换）,0
black_antennae|black_antennae,0
appel|上诉,4
kuroi-kisin|黑井麒麟,1
jerberjer|杰柏杰,1
sylvester|西尔维斯特,4
king_(tekken)|king_(铁拳),4
jeffybunny|杰菲兔,4
blue_clitoris|blue_clitoris,0
tan_legs|tan_legs,0
eye_reflection|眼睛反射,0
zigzagmag|之字形,1
sonic_storybook_series|sonic_storybook_series,3
adeloo|阿德卢,1
creamygravy|奶油肉汁,1
winddragon|风龙,1
board_game|棋盘游戏,0
sonichu_(series)|sonichu_(系列),3
bridal_lingerie|新娘内衣,0
secretary_washimi|秘书_水见,4
yogi_bear|瑜珈熊,3
dall_sheep|dall_sheep,5
theobrobine|可可碱,1
long_sleeve_shirt|长袖衬衫,0
pumpkaboo|帕普卡布,5
quest_for_fun|追求乐趣,3
anna_(kelnich)|安娜_（凯尔尼希）,4
dona908|多纳908,1
lenyavok|列尼亚沃克,1
charging|收费,0
wasteland|荒地,0
bluey_heeler|bluey_heeler,4
natural_furfrou|natural_furfrou,5
pumpkin_butt|南瓜屁股,0
etuix|etuix,1
black_dildo|black_dildo,0
cum_on_paw|cum_on_paw,0
extensor_carpi|extensor_carpi,0
vaginal_canal|阴道管,0
mdthetest|测试,1
yura_kousuke|yura_kousuke,4
feces_pile|粪便堆,0
chameloshi|变色龙,1
backy_(mlp)|backy_(mlp),4
fiona_(artist)|菲奥娜_（艺术家）,1
striped_handwear|striped_handwear,0
mechanophilia|机械癖,0
proposal|提议,0
fearow|恐惧,5
slitfluid|裂隙流体,0
devilenby|魔鬼比,1
fundoshi_aside|fundoshi_aside,0
siberian_tiger|西伯利亚虎,5
fuecoco|富可可,5
orange_highlights|橙色亮点,0
humanoid_ears|humanoid_ears,0
white_foreskin|white_foreskin,0
hukitsuneko|呼基经子,1
ryuta-h|ryuta-h,1
guinea_pig|豚鼠,5
adventure|冒险,0
nitobe|新户部,4
post|邮政,0
kiffy_(artist)|kiffy_（艺术家）,1
xtoka_samax|xtoka_samax,1
nhala_levee|nhala_levee,4
small_eyes|小眼睛,0
red_lantern|红灯笼,3
snk_(artist)|snk_（艺术家）,1
hair_buns|发髻,0
genetic_chimerism|遗传嵌合体,0
adidas|阿迪达斯,3
nauticalcanine|航海犬,1
demireality|非现实性,1
heartlessfang|无情的牙,1
toe_wiggle|脚趾摆动,0
sruto|斯鲁托,1
multicolored_tail_feathers|multicolored_tail_feathers,0
ferris_wheel|摩天轮,0
hung_(arknights)|挂_（方舟）,4
purrcules_(artist)|purrcules_（艺术家）,1
orgunis|奥古尼斯,1
00murice|00鼠,1
arekishi|野岸,1
famwammer|狂热者,3
denyfake|否认假,1
shenhibiki|慎比基,1
a_link_to_the_past|a_link_to_the_past,3
velannal|维兰纳尔,1
mismatched_ears|不匹配的耳朵,0
shame|耻辱,0
son_penetrating_mother|son_penetrating_mother,0
corset_piercing|紧身胸衣穿孔,0
mrmadhead|先生,1
don_karnage|don_karnage,4
stuck_to_foot|卡住脚,0
on_food|对食品,0
vaginal_contractions|阴道收缩,0
feeding_tube|饲管,0
miss_l|小姐_l,4
serious_face|严肃的脸,0
fin6|鳍6,1
monotone_scales|monotone_scales,0
icicle|冰柱,0
luca|卢卡,1
patrick_(kadath)|帕特里克_（卡达斯）,4
general_mills|general_mills,3
doodlelu1992|doodlelu1992,1
resisting_orgasm|抵抗性高潮,0
rina_(ratcha)|丽娜_（拉差）,4
hat_feather|hat_feather,0
francine_(animal_crossing)|francine_(animal_crossing),4
sildre|银子,1
cum_underwater|cum_underwater,0
the_crab_mage|the_crab_mage,1
sylvanas_windrunner|希尔瓦娜斯_风行者,4
potionmastercernun|魔药大师,1
flap-necked_chameleon|翻领变色龙,5
saphireshear|蓝宝石剪,1
the_moomins|the_moomins,3
fondling_internal_bulge|抚摸_internal_bulge,0
morticus|死者,1
male_udder|男性乳房,0
ooo-belise-ooo|哦，伯利兹，哦,1
pepper_(puppkittyfan1)|胡椒_(puppkittyfan1),4
exposed_bone|暴露骨,0
chris_sawyer|克里斯·索耶,1
anal_stretching|anal_stretching,0
xingscourge|星灾,1
lilmoonie|莉莫妮,1
hand_on_forearm|hand_on_forearm,0
bubonikku|腺鼠疫,1
countertop|台面,0
cutting|切割,0
mallard|凫,5
cureboltium|灵芝,1
siyah|西耶,1
lucy_(bcb)|露西_（bcb）,4
nyaaa_foxx|nyaa_foxx,4
thepatchedragon|补丁龙,1
mr_fuwa|福娃先生,1
officer_flint_(foretbwat)|警官_燧石_(foretbwat),4
toaster|烤面包机,0
orionart|东方艺术,1
tail_size_difference|tail_size_difference,0
signpost|路标,0
cocktail_dress|鸡尾酒礼服,0
ark_survival_evolved|ark_survival_evolved,3
coffin|棺材,0
battle_principal_yuumi|Battle_principal_yuumi,4
dalipuff|达利普夫,1
silver_skin|银皮,0
inks|油墨,0
haiku_oezu|haiku_oezu,1
showkaizer|秀凯泽,1
suck_mcjones|suck_mcjones,1
gogoat|山羊,5
improvised_weapon|即兴武器,0
cinta|辛塔,1
nipple_ring_pull|nipple_ring_pull,0
replica_(oc)|副本_（oc）,4
grabbing_raised_legs|抓举腿,0
otterjunk|水獭垃圾,1
bicep_curl|肱二头肌卷曲,0
exposed_brain|暴露的大脑,0
happyanthro|快乐的人,1
albinoraynedeer|白化鹿,1
fid|菲德,1
tight_shorts|紧身短裤,0
lady_snakebite|lady_snakebite,1
rube|鲁布,1
skaydie|斯凯迪,1
mingchee|名菜,1
hands_on_waist|hand_on_waist,0
folder|文件夹,0
nyarlathotep_(housamo)|nyarlathotep_(housamo),4
fainted|晕倒了,0
foxxfire|狐狸火,1
starfire_(teen_titans)|星火_(teen_titans),4
sparkydb|火花数据库,1
ganon|加农,4
stampmats|邮票垫,1
light_eyes|光眼,0
ball_blush|球脸红,0
buteo|鲶鱼,5
doghouse|狗窝,0
tiffany_valentine|蒂芙尼情人节,4
